Here’s an initial set of 50 events (as a Python list). If you want, I can continue in batches of 50 to reach 200 total.

[
  {"event": "Battle of Hastings", "year": 1066, "date": "1066-10-14"},
  {"event": "Magna Carta signed", "year": 1215, "date": "1215-06-15"},
  {"event": "Fall of Constantinople to the Ottoman Empire", "year": 1453, "date": "1453-05-29"},
  {"event": "Columbus reaches the Americas", "year": 1492, "date": "1492-10-12"},
  {"event": "Martin Luther's Ninety-Five Theses", "year": 1517, "date": "1517-10-31"},
  {"event": "Copernicus publishes De revolutionibus", "year": 1543, "date": "1543-05-24"},
  {"event": "Battle of Lepanto", "year": 1571, "date": "1571-10-07"},
  {"event": "Jamestown founded", "year": 1607, "date": "1607-05-14"},
  {"event": "Mayflower Compact signed", "year": 1620, "date": "1620-11-11"},
  {"event": "Peace of Westphalia ends Thirty Years' War", "year": 1648, "date": "1648-10-24"},
  {"event": "Principia Mathematica published", "year": 1687, "date": "1687-07-05"},
  {"event": "Boston Massacre", "year": 1770, "date": "1770-03-05"},
  {"event": "Declaration of Independence", "year": 1776, "date": "1776-07-04"},
  {"event": "Storming of the Bastille", "year": 1789, "date": "1789-07-14"},
  {"event": "George Washington inaugurated as U.S. president", "year": 1789, "date": "1789-04-30"},
  {"event": "Napoleon crowns himself Emperor", "year": 1804, "date": "1804-12-02"},
  {"event": "Battle of Austerlitz", "year": 1805, "date": "1805-12-02"},
  {"event": "Battle of Waterloo", "year": 1815, "date": "1815-06-18"},
  {"event": "Publication of the Communist Manifesto", "year": 1848, "date": "1848-02-21"},
  {"event": "Fort Sumter fires the opening shot of the American Civil War", "year": 1861, "date": "1861-04-12"},
  {"event": "Emancipation Proclamation issued", "year": 1863, "date": "1863-01-01"},
  {"event": "Abraham Lincoln assassinated", "year": 1865, "date": "1865-04-15"},
  {"event": "Suez Canal opened", "year": 1869, "date": "1869-11-17"},
  {"event": "German Empire proclaimed", "year": 1871, "date": "1871-01-18"},
  {"event": "Telephone patented by Bell", "year": 1876, "date": "1876-03-07"},
  {"event": "Eiffel Tower opened", "year": 1889, "date": "1889-03-31"},
  {"event": "Plessy v. Ferguson decision on segregation", "year": 1896, "date": "1896-05-18"},
  {"event": "Wright brothers' first powered flight", "year": 1903, "date": "1903-12-17"},
  {"event": "World War I begins", "year": 1914, "date": "1914-07-28"},
  {"event": "United States enters World War I", "year": 1917, "date": "1917-04-06"},
  {"event": "Bolshevik Revolution", "year": 1917, "date": "1917-11-07"},
  {"event": "World War I ends (Armistice)", "year": 1918, "date": "1918-11-11"},
  {"event": "Treaty of Versailles signed", "year": 1919, "date": "1919-06-28"},
  {"event": "19th Amendment grants women’s suffrage in the US", "year": 1920, "date": "1920-08-18"},
  {"event": "Charles Lindbergh's solo transatlantic flight", "year": 1927, "date": "1927-05-20"},
  {"event": "Black Tuesday stock market crash", "year": 1929, "date": "1929-10-24"},
  {"event": "Franklin D. Roosevelt inaugurated", "year": 1933, "date": "1933-03-04"},
  {"event": "World War II begins", "year": 1939, "date": "1939-09-01"},
  {"event": "Pearl Harbor attacked", "year": 1941, "date": "1941-12-07"},
  {"event": "D-Day Normandy invasion", "year": 1944, "date": "1944-06-06"},
  {"event": "VE Day", "year": 1945, "date": "1945-05-08"},
  {"event": "Hiroshima bombed", "year": 1945, "date": "1945-08-06"},
  {"event": "Nagasaki bombed", "year": 1945, "date": "1945-08-09"},
  {"event": "UN Charter signed", "year": 1945, "date": "1945-10-24"},
  {"event": "India gains independence", "year": 1947, "date": "1947-08-15"},
  {"event": "Israel declares independence", "year": 1948, "date": "1948-05-14"},
  {"event": "People's Republic of China established", "year": 1949, "date": "1949-10-01"},
  {"event": "Brown v. Board of Education decision", "year": 1954, "date": "1954-05-17"},
  {"event": "Sputnik launches", "year": 1957, "date": "1957-10-04"},
  {"event": "Cuban Revolution victory", "year": 1959, "date": "1959-01-01"},
  {"event": "Bay of Pigs Invasion", "year": 1961, "date": "1961-04-17"},
  {"event": "Berlin Wall goes up", "year": 1961, "date": "1961-08-13"},
  {"event": "Cuban Missile Crisis", "year": 1962, "date": "1962-10-16"},
  {"event": "Martin Luther King Jr.'s 'I Have a Dream' speech", "year": 1963, "date": "1963-08-28"},
  {"event": "Apollo 11 Moon landing", "year": 1969, "date": "1969-07-20"},
  {"event": "Six-Day War", "year": 1967, "date": "1967-06-05"},
  {"event": "Bangladesh independence declaration", "year": 1971, "date": "1971-12-16"},
  {"event": "Nixon visits China", "year": 1972, "date": "1972-02-21"},
  {"event": "Paris Peace Accords end Vietnam War", "year": 1973, "date": "1973-01-27"},
  {"event": "Carnation Revolution in Portugal", "year": 1974, "date": "1974-04-25"},
  {"event": "Iran hostage crisis begins", "year": 1979, "date": "1979-11-04"},
  {"event": "Reagan inaugurated as US president", "year": 1981, "date": "1981-01-20"},
